age,workclass,education,experience,occupation,hours_per_week,salary
37,Private,Masters,12,Exec-Managerial,47,50K-75K
52,Private,Bachelors,33,Tech-Support,45,50K-75K
65,Private,Bachelors,46,Admin,33,75K-100K
42,Private,Masters,19,Sales,41,50K-75K
52,Private,High School,33,Craft-Repair,44,50K-75K
42,Private,Bachelors,23,Craft-Repair,34,50K-75K
46,Private,High School,31,Farming-Fishing,30,50K-75K
35,Private,High School,20,Prof-Specialty,39,50K-75K
63,Private,Bachelors,41,Prof-Specialty,23,75K-100K
35,Self-Emp,Bachelors,16,Sales,13,25K-50K
19,Private,Associate,2,Admin,44,<=25K
52,Self-Emp,Associate,31,Prof-Specialty,33,75K-100K
33,Private,Bachelors,9,Exec-Managerial,37,50K-75K
58,Private,High School,39,Craft-Repair,41,75K-100K
53,Self-Emp,High School,34,Exec-Managerial,39,75K-100K
50,Private,High School,32,Farming-Fishing,33,25K-50K
21,Local-Gov,High School,3,Tech-Support,55,25K-50K
50,Private,Bachelors,25,Tech-Support,39,50K-75K
31,Private,High School,11,Other-Service,62,<=25K
38,Private,High School,23,Tech-Support,32,50K-75K
65,Federal-Gov,Bachelors,40,Other-Service,36,75K-100K
37,Local-Gov,Masters,16,Admin,40,25K-50K
25,Private,High School,10,Prof-Specialty,40,25K-50K
24,Private,High School,6,Admin,47,25K-50K
20,Private,Associate,3,Admin,21,<=25K
34,Self-Emp,Bachelors,15,Prof-Specialty,52,50K-75K
50,Private,Bachelors,27,Sales,25,50K-75K
65,Private,Bachelors,43,Sales,33,75K-100K
29,Private,Masters,6,Craft-Repair,40,25K-50K
39,Self-Emp,Bachelors,16,Other-Service,43,25K-50K
39,Private,Bachelors,14,Sales,38,25K-50K
63,Self-Emp,Associate,42,Tech-Support,36,75K-100K
47,Self-Emp,High School,30,Prof-Specialty,40,50K-75K
55,Private,Doctorate,28,Craft-Repair,36,75K-100K
55,Private,Associate,33,Farming-Fishing,48,50K-75K
62,Private,High School,47,Sales,45,75K-100K
25,Private,Bachelors,5,Prof-Specialty,43,25K-50K
44,Private,High School,24,Admin,48,50K-75K
44,Self-Emp,Bachelors,20,Tech-Support,42,50K-75K
51,Without-Pay,Bachelors,32,Admin,38,50K-75K
38,Local-Gov,Associate,18,Sales,27,25K-50K
47,Self-Emp,Bachelors,23,Exec-Managerial,54,50K-75K
50,Private,High School,33,Sales,48,50K-75K
45,Private,Associate,28,Other-Service,30,25K-50K
64,Private,Bachelors,42,Prof-Specialty,45,75K-100K
50,Private,Bachelors,26,Admin,43,50K-75K
22,Private,Bachelors,3,Other-Service,32,25K-50K
65,Private,Associate,47,Farming-Fishing,51,50K-75K
36,Federal-Gov,Bachelors,11,Exec-Managerial,41,50K-75K
21,Local-Gov,High School,3,Tech-Support,30,<=25K
52,Local-Gov,Masters,28,Sales,30,50K-75K
34,Private,Associate,13,Admin,43,25K-50K
61,Federal-Gov,Bachelors,42,Exec-Managerial,32,75K-100K
45,Private,High School,25,Admin,34,50K-75K
47,Private,High School,26,Exec-Managerial,43,50K-75K
46,Private,Associate,29,Sales,34,50K-75K
63,Private,Masters,41,Exec-Managerial,36,75K-100K
23,Local-Gov,Bachelors,2,,33,25K-50K
52,Private,Masters,28,Tech-Support,45,75K-100K
58,Private,Associate,39,Exec-Managerial,49,75K-100K
54,Private,Associate,35,Exec-Managerial,26,75K-100K
41,State-Gov,High School,24,Craft-Repair,32,25K-50K
46,Private,Bachelors,23,Prof-Specialty,22,50K-75K
63,Self-Emp,High School,48,Exec-Managerial,41,75K-100K
48,Private,Masters,25,Other-Service,41,25K-50K
52,Private,Masters,26,Craft-Repair,32,50K-75K
50,Private,Masters,24,Admin,36,50K-75K
38,Private,Bachelors,13,Sales,43,25K-50K
49,Private,Bachelors,24,Admin,52,25K-50K
40,Local-Gov,Bachelors,20,Tech-Support,34,50K-75K
50,,High School,33,Exec-Managerial,40,75K-100K
20,Private,Bachelors,0,Exec-Managerial,44,25K-50K
35,Private,High School,16,Other-Service,54,25K-50K
42,Private,Associate,25,Admin,43,50K-75K
59,Self-Emp,High School,42,Exec-Managerial,55,>100K
48,Private,High School,31,Exec-Managerial,28,75K-100K
20,Self-Emp,Associate,3,Other-Service,43,25K-50K
57,Local-Gov,Associate,38,Sales,37,50K-75K
63,Private,Bachelors,41,Admin,39,75K-100K
41,Private,High School,23,Admin,30,25K-50K
49,Federal-Gov,Bachelors,26,Exec-Managerial,49,75K-100K
64,Private,High School,45,Tech-Support,44,75K-100K
39,Private,Bachelors,15,Craft-Repair,41,50K-75K
40,Private,Bachelors,17,Tech-Support,26,50K-75K
19,Private,Bachelors,0,Admin,47,<=25K
44,Private,Bachelors,20,Tech-Support,34,50K-75K
59,Private,High School,44,Other-Service,33,50K-75K
19,Private,Bachelors,0,Exec-Managerial,27,25K-50K
43,Self-Emp,Associate,22,Craft-Repair,37,50K-75K
34,Private,Associate,16,Tech-Support,35,50K-75K
57,Private,Bachelors,34,Sales,50,50K-75K
50,Private,High School,31,Craft-Repair,31,50K-75K
26,State-Gov,Bachelors,2,Sales,34,<=25K
60,Private,Bachelors,41,Sales,35,75K-100K
65,Private,High School,50,Admin,33,75K-100K
56,Private,High School,36,Sales,29,50K-75K
46,Private,High School,25,Tech-Support,45,50K-75K
59,Private,Masters,33,Tech-Support,38,50K-75K
43,Private,Bachelors,19,Exec-Managerial,35,50K-75K
52,Private,High School,34,Exec-Managerial,34,75K-100K
42,Self-Emp,Associate,21,Prof-Specialty,41,50K-75K
41,Private,Bachelors,17,Sales,34,50K-75K
30,State-Gov,Bachelors,7,Prof-Specialty,39,50K-75K
24,Private,High School,5,Tech-Support,43,25K-50K
53,Private,High School,35,Prof-Specialty,42,75K-100K
62,Local-Gov,Masters,37,,51,75K-100K
37,Private,High School,21,Prof-Specialty,47,50K-75K
18,Private,High School,0,Prof-Specialty,42,25K-50K
25,Private,Masters,0,Tech-Support,43,25K-50K
63,Private,Bachelors,38,Exec-Managerial,55,75K-100K
33,Private,High School,12,Prof-Specialty,33,50K-75K
31,Private,High School,13,Exec-Managerial,43,25K-50K
29,Local-Gov,High School,13,Exec-Managerial,33,50K-75K
40,Private,High School,25,Sales,46,25K-50K
32,Federal-Gov,Masters,11,Sales,45,50K-75K
45,Private,Associate,23,Prof-Specialty,38,50K-75K
51,Private,Bachelors,29,Admin,50,50K-75K
19,Private,Masters,0,Admin,40,25K-50K
49,Private,Associate,31,Other-Service,42,50K-75K
40,Private,High School,20,Sales,27,50K-75K
39,Private,Bachelors,16,Exec-Managerial,58,50K-75K
42,Self-Emp,Masters,16,Craft-Repair,31,25K-50K
39,Private,Bachelors,18,Admin,30,25K-50K
39,Private,High School,19,Other-Service,44,25K-50K
59,Private,Bachelors,36,Admin,41,50K-75K
23,Without-Pay,Bachelors,2,Sales,27,<=25K
32,Private,Masters,11,Admin,33,25K-50K
60,Private,High School,44,Exec-Managerial,36,75K-100K
54,Private,Bachelors,32,Other-Service,34,50K-75K
50,Private,Masters,28,Craft-Repair,41,50K-75K
25,Private,Associate,3,Prof-Specialty,47,25K-50K
61,Private,Associate,44,Sales,57,75K-100K
61,Private,High School,43,Other-Service,27,50K-75K
22,Private,High School,2,Craft-Repair,39,<=25K
56,State-Gov,High School,35,Sales,40,50K-75K
21,Private,Masters,0,Craft-Repair,40,25K-50K
23,Private,High School,4,Other-Service,41,<=25K
62,Private,Associate,45,Prof-Specialty,40,75K-100K
49,Private,Bachelors,30,Admin,49,50K-75K
47,Private,High School,31,Farming-Fishing,43,50K-75K
64,Private,Associate,41,Admin,27,75K-100K
52,Private,Bachelors,31,Prof-Specialty,29,50K-75K
57,Private,Masters,34,Admin,47,50K-75K
33,Self-Emp,Bachelors,14,Other-Service,43,25K-50K
30,Private,Bachelors,11,Tech-Support,37,50K-75K
59,Private,High School,39,Exec-Managerial,43,75K-100K
47,Private,Masters,26,Sales,44,50K-75K
36,Private,High School,18,Exec-Managerial,48,50K-75K
34,Private,Bachelors,13,Other-Service,38,25K-50K
36,Private,High School,16,Other-Service,46,25K-50K
45,Private,Masters,21,Admin,38,50K-75K
43,Private,Bachelors,24,Tech-Support,28,50K-75K
54,Private,Bachelors,35,Sales,43,75K-100K
43,Self-Emp,High School,22,Exec-Managerial,50,50K-75K
40,Private,Associate,18,Craft-Repair,46,50K-75K
26,Private,Bachelors,4,Prof-Specialty,49,25K-50K
29,Private,Bachelors,6,Tech-Support,41,25K-50K
18,Private,High School,3,Tech-Support,33,<=25K
18,Private,Masters,0,Prof-Specialty,41,25K-50K
64,Private,Masters,42,Sales,37,75K-100K
51,Private,High School,36,Admin,42,50K-75K
49,,Bachelors,26,Sales,40,50K-75K
65,Private,Bachelors,44,Admin,48,50K-75K
42,Private,Associate,24,Tech-Support,28,50K-75K
57,Private,High School,39,Other-Service,21,50K-75K
62,Local-Gov,Bachelors,43,Admin,40,75K-100K
18,Private,Bachelors,0,Craft-Repair,37,25K-50K
33,Private,Associate,16,Exec-Managerial,35,50K-75K
56,Private,Bachelors,33,Prof-Specialty,34,75K-100K
22,,Bachelors,1,Sales,39,25K-50K
39,State-Gov,Bachelors,15,Sales,43,50K-75K
46,Private,High School,31,Sales,44,50K-75K
20,Private,Masters,0,Prof-Specialty,17,25K-50K
29,Private,Associate,9,Prof-Specialty,39,25K-50K
43,Private,High School,25,Other-Service,25,25K-50K
33,Private,High School,15,Tech-Support,47,25K-50K
54,Private,Associate,36,Exec-Managerial,44,50K-75K
39,Private,Masters,15,Exec-Managerial,31,50K-75K
46,Private,Associate,29,Sales,40,50K-75K
31,Private,Bachelors,8,Tech-Support,23,25K-50K
45,Local-Gov,High School,26,Craft-Repair,43,50K-75K
22,Private,Associate,3,Tech-Support,43,25K-50K
64,Private,Doctorate,36,Other-Service,46,75K-100K
47,State-Gov,Bachelors,27,Tech-Support,44,50K-75K
63,Local-Gov,High School,43,Tech-Support,35,75K-100K
22,Private,Bachelors,1,Prof-Specialty,31,25K-50K
29,Private,High School,10,Admin,34,25K-50K
33,Private,Associate,13,Other-Service,38,25K-50K
43,Private,Bachelors,20,Craft-Repair,29,50K-75K
43,Federal-Gov,Bachelors,18,Prof-Specialty,37,75K-100K
65,Self-Emp,High School,48,Farming-Fishing,37,75K-100K
38,Private,Masters,17,Admin,48,50K-75K
56,Federal-Gov,Bachelors,37,Exec-Managerial,43,75K-100K
53,Private,Associate,35,Other-Service,34,50K-75K
50,Local-Gov,Bachelors,27,Exec-Managerial,42,75K-100K
47,Local-Gov,Bachelors,24,Admin,43,50K-75K
54,Private,Bachelors,34,Sales,26,50K-75K
40,Private,Associate,18,Exec-Managerial,56,50K-75K
27,Private,Bachelors,5,Prof-Specialty,38,25K-50K
22,Local-Gov,High School,4,Sales,32,<=25K
53,Without-Pay,Bachelors,29,Exec-Managerial,40,75K-100K
51,Private,Bachelors,27,,32,50K-75K
48,Private,High School,27,Exec-Managerial,25,50K-75K
27,Private,Bachelors,7,Other-Service,44,25K-50K
36,Self-Emp,Masters,13,Prof-Specialty,40,50K-75K
49,Private,Masters,25,Exec-Managerial,42,50K-75K
18,Private,Associate,0,Sales,26,<=25K
22,Private,High School,2,Sales,43,<=25K
62,Self-Emp,Bachelors,42,Admin,38,75K-100K
21,State-Gov,High School,6,Prof-Specialty,29,25K-50K
33,Private,Masters,10,Admin,32,25K-50K
41,Private,High School,21,Tech-Support,52,50K-75K
33,Private,High School,18,Prof-Specialty,36,50K-75K
19,Federal-Gov,Associate,0,Prof-Specialty,52,25K-50K
45,Private,Associate,26,Prof-Specialty,32,50K-75K
49,Private,Bachelors,30,Prof-Specialty,35,50K-75K
44,Private,Associate,21,Admin,36,25K-50K
37,Private,High School,18,Sales,46,25K-50K
41,Private,High School,23,Exec-Managerial,41,50K-75K
29,Private,Bachelors,5,Tech-Support,41,50K-75K
52,Private,High School,37,Admin,48,50K-75K
50,Private,Bachelors,29,Craft-Repair,44,50K-75K
50,Private,Bachelors,25,Prof-Specialty,29,50K-75K
60,,Bachelors,38,Tech-Support,47,75K-100K
54,Private,Masters,30,Admin,31,50K-75K
29,Private,Masters,3,Prof-Specialty,47,25K-50K
20,Private,Masters,0,Tech-Support,43,25K-50K
18,State-Gov,High School,0,Sales,44,<=25K
50,Private,High School,30,Prof-Specialty,36,50K-75K
